category,code
不動産業,3286
不動産業,3288
不動産業,3289
不動産業,3291
不動産業,3293
不動産業,3294
不動産業,3297
不動産業,3299
不動産業,3300
繊維製品,3302
卸売業,3306
石油・石炭製品,3315
卸売業,3316
小売業,3317
小売業,3319
卸売業,3320
卸売業,3321
卸売業,3322
卸売業,3323
サービス業,3326
小売業,3328
小売業,3329
小売業,3333
小売業,3341
小売業,3347
小売業,3349
卸売業,3350
小売業,3352
小売業,3353
卸売業,3355
卸売業,3356
小売業,3358
卸売業,3359
卸売業,3360
小売業,3361
小売業,3370
情報・通信業,3371
小売業,3372
卸売業,3374
小売業,3375
卸売業,3377
小売業,3382
卸売業,3386
小売業,3387
卸売業,3388
卸売業,3390
小売業,3391
卸売業,3392
卸売業,3393
小売業,3395
小売業,3396
小売業,3397
小売業,3399
繊維製品,3401
繊維製品,3402
化学,3405
化学,3407
繊維製品,3409
小売業,3415
小売業,3416
卸売業,3417
小売業,3418
金属製品,3420
金属製品,3421
金属製品,3422
金属製品,3423
金属製品,3426
金属製品,3431
金属製品,3433
金属製品,3434
金属製品,3435
金属製品,3436
金属製品,3437
金属製品,3439
金属製品,3440
金属製品,3441
金属製品,3443
金属製品,3444
金属製品,3445
金属製品,3446
金属製品,3447
金属製品,3448
金属製品,3449
金属製品,3450
不動産業,3452
不動産業,3454
不動産業,3456
不動産業,3457
不動産業,3458
不動産業,3461
不動産業,3464
不動産業,3465
不動産業,3467
不動産業,3469
不動産業,3474
不動産業,3475
不動産業,3477
不動産業,3479
不動産業,3480
不動産業,3482
不動産業,3483
不動産業,3484
不動産業,3486
不動産業,3489
不動産業,3490
不動産業,3491
不動産業,3494
不動産業,3495
不動産業,3496
不動産業,3497
不動産業,3498
繊維製品,3501
繊維製品,3512
繊維製品,3513
サービス業,3521
繊維製品,3524
輸送用機器,3526
不動産業,3528
繊維製品,3529
小売業,3536
卸売業,3537
小売業,3538
小売業,3539
卸売業,3540
卸売業,3541
小売業,3542
卸売業,3543
小売業,3544
小売業,3546
小売業,3547
小売業,3548
小売業,3549
小売業,3550
繊維製品,3551
化学,3553
小売業,3556
小売業,3557
小売業,3558
卸売業,3559
小売業,3560
小売業,3561
卸売業,3562
小売業,3563
卸売業,3565
小売業,3566
繊維製品,3569
繊維製品,3571
繊維製品,3577
繊維製品,3578
繊維製品,3580
繊維製品,3583
繊維製品,3591
繊維製品,3593
繊維製品,3597
繊維製品,3598
繊維製品,3600
繊維製品,3604
繊維製品,3607
繊維製品,3608
繊維製品,3611
繊維製品,3612
情報・通信業,3622
情報・通信業,3623
情報・通信業,3624
情報・通信業,3625
情報・通信業,3626
情報・通信業,3627
情報・通信業,3628
情報・通信業,3632
情報・通信業,3633
情報・通信業,3634
情報・通信業,3635
情報・通信業,3636
情報・通信業,3639
情報・通信業,3640
情報・通信業,3641
情報・通信業,3645
情報・通信業,3646
情報・通信業,3647
情報・通信業,3648
情報・通信業,3649
情報・通信業,3652
情報・通信業,3653
情報・通信業,3655
情報・通信業,3656
情報・通信業,3657
情報・通信業,3659
情報・通信業,3660
情報・通信業,3661
情報・通信業,3662
情報・通信業,3663
情報・通信業,3664
情報・通信業,3665
情報・通信業,3666
情報・通信業,3667
情報・通信業,3668
情報・通信業,3670
情報・通信業,3671
情報・通信業,3672
情報・通信業,3673
情報・通信業,3674
情報・通信業,3675
情報・通信業,3676
情報・通信業,3677
情報・通信業,3678
情報・通信業,3679
情報・通信業,3680
情報・通信業,3681
情報・通信業,3682
情報・通信業,3683
情報・通信業,3686
情報・通信業,3687
情報・通信業,3688
情報・通信業,3690
情報・通信業,3691
情報・通信業,3692
情報・通信業,3694
情報・通信業,3695
情報・通信業,3696
情報・通信業,3697
情報・通信業,3698
パルプ・紙,3708
情報・通信業,3710
情報・通信業,3712
情報・通信業,3719
情報・通信業,3723
小売業,3726
情報・通信業,3727
情報・通信業,3733
情報・通信業,3738
情報・通信業,3741
情報・通信業,3744
情報・通信業,3747
情報・通信業,3750
情報・通信業,3753
情報・通信業,3758
情報・通信業,3760
情報・通信業,3762
情報・通信業,3763
情報・通信業,3765
情報・通信業,3766
情報・通信業,3768
情報・通信業,3769
情報・通信業,3770
情報・通信業,3771
不動産業,3772
情報・通信業,3773
情報・通信業,3774
情報・通信業,3776
情報・通信業,3777
情報・通信業,3778
情報・通信業,3779
情報・通信業,3782
情報・通信業,3784
情報・通信業,3787
情報・通信業,3788
情報・通信業,3791
情報・通信業,3793
情報・通信業,3796
情報・通信業,3798
情報・通信業,3799
情報・通信業,3800
情報・通信業,3802
情報・通信業,3803
情報・通信業,3804
情報・通信業,3807
情報・通信業,3810
情報・通信業,3814
情報・通信業,3815
情報・通信業,3816
情報・通信業,3817
情報・通信業,3823
情報・通信業,3825
情報・通信業,3826
情報・通信業,3834
情報・通信業,3835
情報・通信業,3836
情報・通信業,3837
情報・通信業,3839
情報・通信業,3840
情報・通信業,3841
情報・通信業,3842
情報・通信業,3843
情報・通信業,3844
情報・通信業,3845
情報・通信業,3847
情報・通信業,3848
情報・通信業,3850
情報・通信業,3851
情報・通信業,3852
情報・通信業,3853
情報・通信業,3854
電気機器,3856
情報・通信業,3857
情報・通信業,3858
パルプ・紙,3861
パルプ・紙,3863
パルプ・紙,3864
パルプ・紙,3865
パルプ・紙,3877
パルプ・紙,3878
パルプ・紙,3880
パルプ・紙,3891
パルプ・紙,3892
パルプ・紙,3895
パルプ・紙,3896
情報・通信業,3900
情報・通信業,3901
情報・通信業,3902
情報・通信業,3903
情報・通信業,3904
情報・通信業,3905
情報・通信業,3906
情報・通信業,3907
情報・通信業,3908
情報・通信業,3909
情報・通信業,3910
情報・通信業,3911
情報・通信業,3912
情報・通信業,3913
情報・通信業,3914
情報・通信業,3915
情報・通信業,3916
情報・通信業,3917
情報・通信業,3918
情報・通信業,3919
情報・通信業,3920
情報・通信業,3921
情報・通信業,3922
情報・通信業,3923
情報・通信業,3924
情報・通信業,3925
情報・通信業,3926
情報・通信業,3927
情報・通信業,3928
情報・通信業,3929
情報・通信業,3930
情報・通信業,3931
情報・通信業,3932
情報・通信業,3933
情報・通信業,3934
情報・通信業,3935
情報・通信業,3936
情報・通信業,3937
情報・通信業,3939
情報・通信業,3940
パルプ・紙,3941
パルプ・紙,3943
パルプ・紙,3944
パルプ・紙,3945
パルプ・紙,3946
パルプ・紙,3947
パルプ・紙,3948
パルプ・紙,3950
パルプ・紙,3951
パルプ・紙,3953
パルプ・紙,3954
パルプ・紙,3955
情報・通信業,3961
情報・通信業,3962
情報・通信業,3963
情報・通信業,3964
情報・通信業,3965
情報・通信業,3966
情報・通信業,3967
情報・通信業,3968
情報・通信業,3969
情報・通信業,3970
情報・通信業,3974
情報・通信業,3976
情報・通信業,3978
情報・通信業,3979
情報・通信業,3981
情報・通信業,3983
情報・通信業,3984
情報・通信業,3985
情報・通信業,3986
情報・通信業,3987
情報・通信業,3988
情報・通信業,3989
情報・通信業,3990
情報・通信業,3991
情報・通信業,3992
情報・通信業,3993
情報・通信業,3994
情報・通信業,3995
情報・通信業,3996
情報・通信業,3997
情報・通信業,3998
情報・通信業,3999
化学,4004
化学,4005
化学,4008
情報・通信業,4011
情報・通信業,4012
情報・通信業,4013
情報・通信業,4014
情報・通信業,4015
情報・通信業,4016
情報・通信業,4017
情報・通信業,4019
情報・通信業,4020
化学,4021
化学,4022
化学,4023
化学,4025
ガラス・土石製品,4026
化学,4027
化学,4028
化学,4031
化学,4041
化学,4042
化学,4043
化学,4044
化学,4045
化学,4046
化学,4047
情報・通信業,4051
情報・通信業,4052
情報・通信業,4053
情報・通信業,4054
情報・通信業,4055
情報・通信業,4056
情報・通信業,4057
情報・通信業,4058
情報・通信業,4059
情報・通信業,4060
化学,4061
電気機器,4062
化学,4063
化学,4064
情報・通信業,4068
情報・通信業,4069
情報・通信業,4071
情報・通信業,4072
情報・通信業,4073
情報・通信業,4074
情報・通信業,4075
情報・通信業,4076
化学,4078
化学,4080
化学,4082
化学,4088
化学,4091
